what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305407081636
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1305407108300
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1305407111404
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1305407119401
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1305407123670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305407129798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305407131749
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1305407131759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1305407131759
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131917
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131919
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131921
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131923
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131924
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131925
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131927
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131928
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131929
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131931
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131933
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131934
error,log,,,"Unable to get nature of project 'Crawler'.",1305407131937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305407135856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305407137341
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1305407137353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1305407137353
error,log,,,"Unable to get nature of project 'Data'.",1305407137410
error,log,,,"Unable to get nature of project 'Data'.",1305407137412
error,log,,,"Unable to get nature of project 'Data'.",1305407137414
error,log,,,"Unable to get nature of project 'Data'.",1305407137415
error,log,,,"Unable to get nature of project 'Data'.",1305407137417
error,log,,,"Unable to get nature of project 'Data'.",1305407137419
error,log,,,"Unable to get nature of project 'Data'.",1305407137421
error,log,,,"Unable to get nature of project 'Data'.",1305407137424
error,log,,,"Unable to get nature of project 'Data'.",1305407137426
error,log,,,"Unable to get nature of project 'Data'.",1305407137429
error,log,,,"Unable to get nature of project 'Data'.",1305407137431
error,log,,,"Unable to get nature of project 'Data'.",1305407137433
error,log,,,"Unable to get nature of project 'Data'.",1305407137437
error,log,,,"Unable to get nature of project 'Data'.",1305407137438
error,log,,,"Unable to get nature of project 'Data'.",1305407137440
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305407141996
